CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
428,47220,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area",M1,1,G3110,1252327405,503300501,+39.3284336,-075.1216277
,45740,45740,"Toccoa, GA","Toccoa, GA Micro Area",M2,2,G3110,463948063,13121983,+34.5529139,-083.2902156
534,45780,45780,"Toledo, OH","Toledo, OH Metro Area",M1,1,G3110,3531410501,673671125,+41.5439974,-083.6908887
,45820,45820,"Topeka, KS","Topeka, KS Metro Area",M1,1,G3110,8372391390,148386791,+39.0413888,-095.8026393
408,45860,45860,"Torrington, CT","Torrington, CT Micro Area",M2,2,G3110,2384058126,62393364,+41.7918833,-073.2354042
,45900,45900,"Traverse City, MI","Traverse City, MI Micro Area",M2,2,G3110,4379940084,7440189707,+44.9523239,-085.9083200
408,45940,45940,"Trenton, NJ","Trenton, NJ Metro Area",M1,1,G3110,581097880,11661948,+40.2825026,-074.7037240
,45980,45980,"Troy, AL","Troy, AL Micro Area",M2,2,G3110,1740741209,2336975,+31.7986508,-085.9416035
472,46020,46020,"Truckee-Grass Valley, CA","Truckee-Grass Valley, CA Micro Area",M2,2,G3110,2480606160,41513172,+39.2975082,-120.7713429
536,46060,46060,"Tucson, AZ","Tucson, AZ Metro Area",M1,1,G3110,23794775138,5273054,+32.1285226,-111.7830267
,46100,46100,"Tullahoma-Manchester, TN","Tullahoma-Manchester, TN Micro Area",M2,2,G3110,2881800723,72655722,+35.3030848,-086.1119048
538,46140,46140,"Tulsa, OK","Tulsa, OK Metro Area",M1,1,G3110,16238463266,493085088,+36.2541477,-096.1749760
,46180,46180,"Tupelo, MS","Tupelo, MS Micro Area",M2,2,G3110,3834436435,36678576,+34.2682708,-088.6829073
,46220,46220,"Tuscaloosa, AL","Tuscaloosa, AL Metro Area",M1,1,G3110,7373826590,131643546,+33.1606112,-087.7151664
,46300,46300,"Twin Falls, ID","Twin Falls, ID Micro Area",M2,2,G3110,6524081879,31092937,+42.4403972,-114.5687294
540,46340,46340,"Tyler, TX","Tyler, TX Metro Area",M1,1,G3110,2386701624,73066275,+32.3751061,-095.2687428
,46380,46380,"Ukiah, CA","Ukiah, CA Micro Area",M2,2,G3110,9081421729,962951511,+39.4323876,-123.4428811
362,46460,46460,"Union City, TN-KY","Union City, TN-KY Micro Area",M2,2,G3110,1944521609,91518983,+36.4088231,-089.1626826
212,46500,46500,"Urbana, OH","Urbana, OH Micro Area",M2,2,G3110,1109623490,3639845,+40.1327594,-083.7675425
,46520,46520,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area",M1,1,G3110,1555561841,4054927822,+21.4613654,-158.2019740
,46540,46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area",M1,1,G3110,6795727533,237762852,+43.3322887,-075.1731690
,46620,46620,"Uvalde, TX","Uvalde, TX Micro Area",M2,2,G3110,4019519701,17321922,+29.3503081,-099.7684270
,46660,46660,"Valdosta, GA","Valdosta, GA Metro Area",M1,1,G3110,4116441966,102347892,+30.8274985,-083.2421316
488,46700,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area",M1,1,G3110,2128380148,218647027,+38.2672255,-121.9395940
194,46740,46740,"Valley, AL","Valley, AL Micro Area",M2,2,G3110,1545009121,17048126,+32.9155039,-085.3940321
338,46780,46780,"Van Wert, OH","Van Wert, OH Micro Area",M2,2,G3110,1059698927,3281853,+40.8555203,-084.5857751
512,46820,46820,"Vermillion, SD","Vermillion, SD Micro Area",M2,2,G3110,1067562649,13071014,+42.9161495,-096.9804680
,46860,46860,"Vernal, UT","Vernal, UT Micro Area",M2,2,G3110,11609281233,56154091,+40.1258872,-109.5177482
,46900,46900,"Vernon, TX","Vernon, TX Micro Area",M2,2,G3110,2514536081,18196245,+34.0849199,-099.2424397
298,46980,46980,"Vicksburg, MS","Vicksburg, MS Micro Area",M2,2,G3110,2786645442,113512128,+32.1817603,-090.8761247
544,47020,47020,"Victoria, TX","Victoria, TX Metro Area",M1,1,G3110,4491343500,36475960,+28.7314546,-097.1969934
,47080,47080,"Vidalia, GA","Vidalia, GA Micro Area",M2,2,G3110,1563141027,31477093,+32.1542390,-082.4113819
,47240,47240,"Vineyard Haven, MA","Vineyard Haven, MA Micro Area",M2,2,G3110,267455938,1004128585,+41.3809696,-070.7014995
545,47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,1,G3110,6948562550,3237680821,+36.8560812,-076.3737908
546,47300,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area",M1,1,G3110,12495016292,37081410,+36.2288241,-118.7810610
,47340,47340,"Wabash, IN","Wabash, IN Micro Area",M2,2,G3110,1068206218,22115988,+40.8437475,-085.7951915
,47380,47380,"Waco, TX","Waco, TX Metro Area",M1,1,G3110,4668697168,81527160,+31.4272264,-097.0934727
,48060,48060,"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY Metro Area",M1,1,G3110,3285912844,1524622410,+43.9963890,-076.0529678
244,47420,47420,"Wahpeton, ND-MN","Wahpeton, ND-MN Micro Area",M2,2,G3110,5663688401,25518466,+46.2939501,-096.7907012
,47460,47460,"Walla Walla, WA","Walla Walla, WA Metro Area",M1,1,G3110,5538991459,87497682,+46.2635366,-118.2558832
338,47540,47540,"Wapakoneta, OH","Wapakoneta, OH Micro Area",M2,2,G3110,1039599278,1345186,+40.5613090,-084.2240177
356,47580,47580,"Warner Robins, GA","Warner Robins, GA Metro Area",M1,1,G3110,2006924099,19555474,+32.4015944,-083.6350953
,47620,47620,"Warren, PA","Warren, PA Micro Area",M2,2,G3110,2289914221,37352304,+41.8436691,-079.3131731
312,47660,47660,"Warrensburg, MO","Warrensburg, MO Micro Area",M2,2,G3110,2147833553,10122996,+38.7415280,-093.8118634
,47700,47700,"Warsaw, IN","Warsaw, IN Micro Area",M2,2,G3110,1376372904,59498373,+41.2442928,-085.8615754
,47780,47780,"Washington, IN","Washington, IN Micro Area",M2,2,G3110,1112370958,19127827,+38.6945459,-087.0727590
274,47820,47820,"Washington, NC","Washington, NC Micro Area",M2,2,G3110,2154915918,338848867,+35.4823128,-076.8420144
548,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",M1,1,G3110,16178790312,1123357368,+38.8169283,-077.4482275
198,47920,47920,"Washington Court House, OH","Washington Court House, OH Micro Area",M2,2,G3110,1052470875,1693045,+39.5552741,-083.4619526
,47940,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area",M1,1,G3110,3893052473,28123687,+42.5367962,-092.4716080
,47980,47980,"Watertown, SD","Watertown, SD Micro Area",M2,2,G3110,1782118025,75327848,+44.9662852,-097.1988375
376,48020,48020,"Watertown-Fort Atkinson, WI","Watertown-Fort Atkinson, WI Micro Area",M2,2,G3110,1441229971,68096645,+43.0138045,-088.7739847
,48100,48100,"Wauchula, FL","Wauchula, FL Micro Area",M2,2,G3110,1651867900,1439673,+27.4928458,-081.8215798
554,48140,48140,"Wausau, WI","Wausau, WI Metro Area",M1,1,G3110,4001539250,81145909,+44.8980363,-089.7578230
,48180,48180,"Waycross, GA","Waycross, GA Micro Area",M2,2,G3110,3193623389,47013715,+31.1331137,-082.3686504
276,49620,49620,"York-Hanover, PA","York-Hanover, PA Metro Area",M1,1,G3110,2341883204,16941833,+39.9217514,-076.7288887
566,49660,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area",M1,1,G3110,4409156953,108718491,+41.2363015,-080.5618679
,48220,48220,"Weatherford, OK","Weatherford, OK Micro Area",M2,2,G3110,2561032754,34321688,+35.6456012,-098.9973857
